# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060922543403625e+09 1.053091072297279970e+04 1.131287959447614412e+04 5.167137430580543150e+04 1.000000000000000000e+00
1.749060922543403625e+09 9.938313065786478546e+03 1.004216685184374728e+04 5.218360228300269227e+04 2.000000000000000000e+00
1.749060922599613190e+09 9.917660600581950348e+03 9.958108933680403425e+03 5.218890074974458548e+04 0.000000000000000000e+00
1.749060922599613190e+09 1.055592141269850799e+04 1.128554150571301579e+04 5.169159787997954845e+04 1.000000000000000000e+00
1.749060922599613190e+09 9.977747479397865391e+03 1.003041449606110655e+04 5.217492629479434981e+04 2.000000000000000000e+00
1.749060922655822515e+09 9.917374740800278232e+03 9.958411363386669109e+03 5.219088692688031006e+04 0.000000000000000000e+00
1.749060922655822515e+09 1.062539051590786767e+04 1.107700721033950140e+04 5.159465148469847918e+04 1.000000000000000000e+00
1.749060922655822515e+09 9.968889838375787804e+03 1.003618467046491241e+04 5.217757032314070966e+04 2.000000000000000000e+00
1.749060922712032080e+09 9.913890479351148315e+03 9.955297130700499110e+03 5.219033228703488567e+04 0.000000000000000000e+00
1.749060922712032080e+09 1.044945140008719682e+04 1.077783695475510831e+04 5.154459021543736162e+04 1.000000000000000000e+00
1.749060922712032080e+09 1.000113051849275689e+04 1.006130156788094246e+04 5.217184987753874884e+04 2.000000000000000000e+00
1.749060922768241644e+09 9.915895906592000756e+03 9.957113479451505555e+03 5.219324659670299297e+04 0.000000000000000000e+00
1.749060922768241644e+09 1.041512917946159905e+04 1.078049716598254599e+04 5.158454871444629680e+04 1.000000000000000000e+00
